"Var1","Var2","MH.mean","MH.lower","MH.upper","gridsize"
"EpCAM","CD8",0.189252891287696,0.188129573400062,0.188959248990819,50
"EpCAM: SMA","CD8",0.136314073465246,0.137026269373707,0.13822962055674,50
"SMA","CD8",0.118617138608569,0.118415757626252,0.11893134532535,50
"Unclass","CD8",0.25018207539912,0.248670065128981,0.252236281723467,50
"EpCAM: SMA","EpCAM",0.441338224359081,0.441144084089379,0.439394622946279,50
"SMA","EpCAM",0.169533197490764,0.169598171954883,0.171825841621757,50
"Unclass","EpCAM",0.284271910029842,0.283758300219436,0.283441827266878,50
"SMA","EpCAM: SMA",0.43462586064445,0.431561508167452,0.440086909740989,50
"Unclass","EpCAM: SMA",0.185856605172947,0.184930504276119,0.185649935575245,50
"Unclass","SMA",0.19248471658336,0.190313140221288,0.194114759613118,50
"EpCAM","CD8",0.320433309359891,0.319019263590813,0.323825916099634,100
"EpCAM: SMA","CD8",0.228644373359111,0.225557248076939,0.229666425667904,100
"SMA","CD8",0.193763498243685,0.190765237944039,0.196717937178468,100
"Unclass","CD8",0.392655818347399,0.387556548827157,0.397559227409704,100
"EpCAM: SMA","EpCAM",0.594424105298291,0.594671359087508,0.595613304748101,100
"SMA","EpCAM",0.30356112113134,0.303790591371979,0.304660362234582,100
"Unclass","EpCAM",0.420165262821436,0.418822376832307,0.420577021346105,100
"SMA","EpCAM: SMA",0.619661659406797,0.617389057874599,0.619540603037272,100
"Unclass","EpCAM: SMA",0.267765240302449,0.267433393687482,0.268805176275108,100
"Unclass","SMA",0.276547684171254,0.274742436248495,0.280757595704343,100
"EpCAM","CD8",0.386350754619949,0.382263826998058,0.38913666824799,150
"EpCAM: SMA","CD8",0.275996731500252,0.272462361017799,0.278053621205684,150
"SMA","CD8",0.235612444967049,0.235338856284132,0.238826517933816,150
"Unclass","CD8",0.457254357159434,0.454363223016298,0.462187324946639,150
"EpCAM: SMA","EpCAM",0.651231856888047,0.650598473452781,0.651227680817842,150
"SMA","EpCAM",0.385593977092765,0.383952488330251,0.38740790259561,150
"Unclass","EpCAM",0.491325089858585,0.489776600571197,0.493235876831117,150
"SMA","EpCAM: SMA",0.704642791700585,0.701735013447606,0.705386003152915,150
"Unclass","EpCAM: SMA",0.311366434483029,0.309479681370083,0.313701796614758,150
"Unclass","SMA",0.31685510514418,0.315531761912585,0.321086792920736,150
"EpCAM","CD8",0.432876013656983,0.428194038726638,0.437815797705259,200
"EpCAM: SMA","CD8",0.307327473674931,0.304212012474695,0.314609620346523,200
"SMA","CD8",0.263026034299497,0.25981903739653,0.268458697975756,200
"Unclass","CD8",0.495864254524227,0.489833041371632,0.497365703008308,200
"EpCAM: SMA","EpCAM",0.682596763851204,0.682859001011606,0.682505000069736,200
"SMA","EpCAM",0.44241865601359,0.440960667453724,0.443193340047687,200
"Unclass","EpCAM",0.541899780559943,0.541365634135316,0.542360813123578,200
"SMA","EpCAM: SMA",0.755724248153712,0.754025072001496,0.757310934811258,200
"Unclass","EpCAM: SMA",0.344931895931358,0.344356923407549,0.347287412885416,200
"Unclass","SMA",0.347993146722622,0.343810505165975,0.349705089464884,200
"EpCAM","CD8",0.463069281344686,0.454513379762676,0.463325949035676,250
"EpCAM: SMA","CD8",0.333052248947445,0.330256662256811,0.33432450318074,250
"SMA","CD8",0.28635704288127,0.284175038923053,0.288595577545865,250
"Unclass","CD8",0.525095910363072,0.515557024953032,0.530230134663127,250
"EpCAM: SMA","EpCAM",0.704221078915824,0.704726744388769,0.706403710991255,250
"SMA","EpCAM",0.484103670768337,0.48544311016917,0.487265361732667,250
"Unclass","EpCAM",0.578585202573978,0.57552106275819,0.580171182916689,250
"SMA","EpCAM: SMA",0.787206232096154,0.787515988919063,0.790571093384487,250
"Unclass","EpCAM: SMA",0.370293960497868,0.369047348594521,0.372416191532253,250
"Unclass","SMA",0.371074516297324,0.37023081912262,0.372760027101081,250
"EpCAM","CD8",0.488343590605822,0.489769241978904,0.494729961981369,300
"EpCAM: SMA","CD8",0.352109466557538,0.350136394693867,0.35585896224351,300
"SMA","CD8",0.304334895123715,0.302916375405982,0.307079772011678,300
"Unclass","CD8",0.547179640902648,0.543265184892863,0.550953079804628,300
"EpCAM: SMA","EpCAM",0.719366848776098,0.718519997278978,0.720880321931419,300
"SMA","EpCAM",0.512821291403722,0.50895293961751,0.511904046976538,300
"Unclass","EpCAM",0.607797735763138,0.6054063078144,0.610153262475581,300
"SMA","EpCAM: SMA",0.81019431798742,0.806068597645069,0.810077222460891,300
"Unclass","EpCAM: SMA",0.393617300141856,0.391374148181828,0.399101774555359,300
"Unclass","SMA",0.391625465008039,0.386343349898389,0.395959346496096,300
"EpCAM","CD8",0.51862774888456,0.513991869071437,0.523439877792909,350
"EpCAM: SMA","CD8",0.375155703995185,0.371647514255618,0.380069014435385,350
"SMA","CD8",0.322554547761696,0.317752045961717,0.326614824435431,350
"Unclass","CD8",0.569613488312226,0.565926559290768,0.57497962787583,350
"EpCAM: SMA","EpCAM",0.730716426732274,0.730275087268803,0.732183924336596,350
"SMA","EpCAM",0.534036613224693,0.53068754226756,0.53441430843984,350
"Unclass","EpCAM",0.628792694544247,0.628898048208571,0.630830119925436,350
"SMA","EpCAM: SMA",0.824052733051686,0.820704186550711,0.824903275907633,350
"Unclass","EpCAM: SMA",0.412955805464676,0.411787260589797,0.414920896364796,350
"Unclass","SMA",0.408365324119096,0.405432160924089,0.411166334631542,350
"EpCAM","CD8",0.52582270841087,0.518019443675519,0.531334893195844,400
"EpCAM: SMA","CD8",0.38379415940103,0.37580641116825,0.388432635706478,400
"SMA","CD8",0.332129687961203,0.328573970437017,0.338349176988501,400
"Unclass","CD8",0.577696513540459,0.571533001445173,0.584910498154732,400
"EpCAM: SMA","EpCAM",0.738183513443018,0.736134901981575,0.738235160130551,400
"SMA","EpCAM",0.556139319136261,0.554977297464396,0.556870428260844,400
"Unclass","EpCAM",0.6466823318985,0.645831525673758,0.645826425767796,400
"SMA","EpCAM: SMA",0.843268782254508,0.844424657891524,0.845931601069494,400
"Unclass","EpCAM: SMA",0.428938862325305,0.428986669946263,0.429841186959909,400
"Unclass","SMA",0.421095181991368,0.421293946804902,0.421135544416925,400
"EpCAM","CD8",0.528244678812596,0.526686392136337,0.533531765068257,450
"EpCAM: SMA","CD8",0.389362111201339,0.387024381432496,0.392451044264484,450
"SMA","CD8",0.335758901036549,0.333830782841006,0.33675000976553,450
"Unclass","CD8",0.582948510874928,0.581696737563214,0.586277641578877,450
"EpCAM: SMA","EpCAM",0.746727345081951,0.745907775011581,0.747301191338603,450
"SMA","EpCAM",0.571023281629104,0.569495311069374,0.572560397004418,450
"Unclass","EpCAM",0.663755194145676,0.659767581058681,0.667125211813836,450
"SMA","EpCAM: SMA",0.850038373862096,0.847000901369559,0.852809132165572,450
"Unclass","EpCAM: SMA",0.441662148744617,0.436073383106237,0.444631303640226,450
"Unclass","SMA",0.431547116463712,0.428313522052181,0.432734297595099,450
"EpCAM","CD8",0.551852629347225,0.545239856076867,0.55644942264468,500
"EpCAM: SMA","CD8",0.409611444188859,0.405822519965513,0.413061216914885,500
"SMA","CD8",0.353901133469462,0.350101439159262,0.359190289811248,500
"Unclass","CD8",0.590736429428951,0.58004130074842,0.597768594604082,500
"EpCAM: SMA","EpCAM",0.752220168370341,0.753640963180157,0.751720246168075,500
"SMA","EpCAM",0.585902269009338,0.586041091100112,0.592056720982482,500
"Unclass","EpCAM",0.681696078539939,0.678284087523787,0.679161816430384,500
"SMA","EpCAM: SMA",0.861181950807915,0.862788204503593,0.865217922263568,500
"Unclass","EpCAM: SMA",0.461147112080712,0.458900519675202,0.458779472661245,500
"Unclass","SMA",0.448924647602894,0.447097466005499,0.449873299962621,500
