"","P24T3","P24T2","P26T1","P27T1","P28T1","P29T2","P29T1","P31T1","P31T2","P31T3","P33T1","P34T1","P35T1","P36T3","P39T1","P4T1","P5T1","P5T2","P5T3","P6T2","P6T1","P7T1","P8T2","P8T1","P13T1","P14T1","P16T1","P17T3","P19T1","P19T2","P21T1","P22T2","P22T1","P23T2"
"Fcgr2a",7.08176746419607,8.02008153440173,6.93543816562335,6.63126369313918,6.67741002584136,7.29195991767599,6.87252621000348,6.53420643417634,6.94249588142406,6.87725316179279,9.9695991527263,7.48685853376179,6.18431864283852,6.80210210950751,7.38551828996058,8.25594911610589,7.8983353852539,9.11545277321176,9.37712881757358,9.95889042044358,8.13842414138728,7.72952725016866,8.58266482255306,7.83524919021255,7.26780513422902,8.07088215759008,7.86483148195146,6.49289588232553,7.9214826155273,6.82097349384889,6.81920550058182,8.08770437500542,7.05201265135635,6.24403155311628
"Hspa1l",7.5772530243759,5.70546114546328,6.67664446253272,8.59703707303849,6.96248646771718,7.0234307473277,6.70407385573573,7.37829848823457,7.49794267962425,7.18219060276511,5.74797034043022,7.04939111162486,7.58999747233047,7.88023510962767,8.14262004224772,7.02184352731571,7.07281132854028,5.7976339309846,6.55744693929519,6.95448614046326,6.5944507040299,7.05570619680506,6.89336190004744,6.37228501352552,9.16260846423644,7.13886511121339,7.05446940134319,5.01223158093494,7.48041257193909,9.18891213495593,7.28357385218654,7.2926680759649,6.95271756366838,8.46482134629277
"RT1-DMa",7.21528066021059,7.77905285909751,7.57281500459722,7.04394930046779,7.21528066021059,7.80197739964985,6.99427466857874,7.72882310351424,7.21528066021059,7.50854192518739,8.47448775718337,7.5716473118562,6.32013082507115,7.81117705508341,7.27908607723883,7.21528066021059,7.73557203166037,8.94293377946696,10.503111718201,8.37634306309273,8.74901641746091,7.67030306626134,7.63877226746137,7.90879417888052,7.74863831942751,8.81909180691465,7.75703605303562,5.73131217118525,8.54710331406349,6.73850246114157,7.21528066021059,8.14478133475676,7.20175442343266,5.91297968710312
"Pcsk1",7.76037435122064,9.22153597400037,6.54538947321597,6.46830081107088,6.23887376716015,6.85570041626193,6.44641704901496,6.72008994911234,6.66328335610232,7.09377445732803,9.77528573846122,8.26899070241899,6.64490947199581,6.94081905230208,7.53099247351397,7.12907744699029,6.50585401883043,8.36145244413676,6.64378813996378,6.42918405322106,7.35826616203904,7.42866149643635,7.83110209615514,7.02885912951603,6.72666732368412,6.19551218546537,7.48816278414836,6.14836363748529,8.04361011282384,6.43784598405295,6.19579668583577,7.28921872259236,7.46824299040133,6.32583851896709
"Mfge8",12.1357201683353,13.6360521397616,11.3737704615853,11.6176232920357,10.8604290304032,12.004591746865,11.0344585537694,11.3004510613769,10.6531953749825,11.305328967873,14.0416074889542,12.9939333182041,11.1384437117325,11.671970602302,12.3938317859698,12.0368009340262,11.8015441701121,13.051805926683,14.96144957815,10.1570008646021,11.3317180203682,12.5526320987919,12.6681717962127,11.2866579619955,12.3158011991261,12.0997934115491,12.0785719845828,9.58637500521625,13.57534777603,11.2040052655192,11.8513024175965,14.2408594907341,12.380954376504,10.2075284389781
"Tnf",7.24081565730275,7.1926209039441,7.24081565730275,7.65919943221794,7.86214974540824,7.51886634383046,7.3088405496084,7.24081565730275,7.51151776885745,7.24081565730275,6.46889118837438,7.94825333828227,7.58619894605017,7.75468045569,8.63244079100183,7.24081565730275,7.82173963915586,7.24376590803226,6.85986622479645,7.24081565730275,7.38388468959055,7.24081565730275,7.24081565730275,7.85179767969625,7.31154095091188,5.9475547636888,7.24081565730275,6.12610570753718,7.24081565730275,7.79050787568667,7.24081565730275,7.24081565730275,7.67489079088563,7.8323704726445
"Ltb",7.05111542108259,6.87817193250184,8.04518333287998,7.60920680693536,8.11159702042779,7.05111542108259,7.11430282001366,7.05111542108259,7.05111542108259,7.05111542108259,6.12948558457795,7.05111542108259,7.40470061624454,7.78842752831982,7.60629727913536,7.05111542108259,7.68690139398815,7.20877867973206,4.67843188896311,7.05111542108259,7.69226590411028,7.50613782713333,7.26343062604627,7.63097638468913,7.61826223429265,7.69611387419663,7.43531280428842,6.74467114720477,7.05111542108259,8.03817080251839,7.05111542108259,7.4951494496146,7.06755908867682,8.32123696401774
"Hsp90aa1",9.20505929669055,8.67145915309089,9.01008042609155,10.2373658689501,8.83986179997797,8.77208816640352,8.92395641681695,9.1269559073104,8.60080087084954,8.63255394121534,8.96772673647864,8.67782354021742,9.50469612633088,9.12395825537408,9.15315556404515,9.53291062443733,9.08439821739126,8.40805204104385,8.01912010394548,8.61483065101448,8.53000524914276,8.67355011792323,8.43084291683617,8.48218896590132,9.78537303805562,8.3405874462083,9.1210179367633,8.97343329153385,8.8818826989049,8.93365052980083,8.90197199969737,8.91655309877338,8.66939378288763,7.87261120524708
"Pdcd1",6.56669749315579,7.8548051861169,6.56669749315579,6.48440038949411,6.56669749315579,6.56669749315579,6.44757145043243,6.56669749315579,6.56669749315579,6.56669749315579,7.57050893401101,6.56669749315579,7.15096250905598,6.9476380988146,6.81031090293773,6.56669749315579,6.08658900715097,6.02967909102528,4.26740635087195,6.56669749315579,5.57698202822491,6.56669749315579,6.56669749315579,6.26119479216555,6.89647862084589,5.99898721188772,6.56669749315579,7.36769963478705,6.56669749315579,6.50000439191276,6.56669749315579,6.56669749315579,7.2248472042248,6.72448907284451
"RT1-DMb",7.10738147525907,7.01904935829422,7.10738147525907,6.82382178447419,7.10738147525907,7.10738147525907,6.73912351363925,7.10738147525907,7.10738147525907,7.31492669042084,7.1419316679643,7.10738147525907,5.93621576328259,7.20404230930883,7.12401189736929,7.10738147525907,7.3140095985786,8.34256944744663,9.72078268149512,7.10738147525907,7.93417827573876,7.10738147525907,7.40737080235068,7.59571760947057,7.59980425797381,8.11475193979968,7.10738147525907,5.13176521413107,7.10738147525907,6.41693029325221,7.10738147525907,7.10738147525907,6.84384049782659,5.50129680465255
"Il1a",8.92770566433756,11.1534019270445,6.05654099409531,8.0705781884199,7.03279711402957,7.31278131968709,5.72144068421961,7.42881955397162,7.42763550686613,7.69442536225278,12.8508438898202,8.71239401560689,7.8554949438416,7.11456150510241,7.29149703157732,8.88058931361949,8.08352244292778,9.37637055213791,9.66323909278236,8.51084001643526,7.44960950989573,8.89193667022485,7.32017153938325,7.63560224690948,7.75142997179247,6.19678526910264,8.45008981021273,8.44508892634274,8.92820754327734,6.86229364170915,7.59107323667466,8.8467303400462,7.1244350232946,5.36813540389034
"Il1b",12.9159639230411,13.9543721686545,10.6850238948578,11.9633226492234,8.81678084177767,11.2898831059587,10.1481933884582,10.6529782847758,10.9974380879547,11.7619922143317,15.0121360363257,11.789298863361,11.6443231144857,10.8858055063493,11.0724377349278,12.1248649066162,11.6683359956358,12.719153579606,13.992817516212,13.0335724727189,12.0475933692706,12.2057197672373,13.0318498428871,12.3877103095112,11.6246305281386,10.1114087369236,12.0385431336045,11.2921759937427,12.9908208086787,10.1750022534429,10.8427650224118,11.8981746506211,11.0093137994942,8.75139586803596
"Serpine1",8.98515648037181,9.73871697485568,5.89628165848681,7.20761582996728,6.21030714211932,7.06299730766363,6.07430211368721,7.16111151972224,7.5406462164017,6.79981877690536,10.9307863552576,7.44330880947108,6.78299087978219,6.59960679270142,7.04595713671842,8.08623763579033,6.89121087389406,8.33426385028361,8.58379880699504,7.35694328427096,8.53945703582668,7.84814173745682,7.55913586267651,7.20049915129761,6.70998620024699,6.15878594295645,6.50577134847893,6.79196057158889,8.20828908778826,6.865375308016,7.18920041319545,8.20058181702539,6.92251669205095,5.43283971892655
"C3",10.1288273179469,11.1974543465992,9.60199067499716,10.1914693491825,9.22958721766761,9.34465097270372,7.93096064087874,7.59791458511741,8.55638617296589,8.05904155901199,10.7295477282616,10.1273998380691,7.75423204573392,7.86172491646962,7.72587228122028,10.7383664625693,10.9576596949502,10.967546922167,13.8039256824146,10.4194081531876,11.6237875620888,10.1309587188388,11.9372275309131,11.2280582143436,9.98566707920465,9.57555746190355,9.04020237991549,8.44669724826031,11.0509533092597,9.01919580147973,10.0675765686996,9.30164794247665,9.04677172679154,6.70252812793251
"Ptgs2",10.665946945814,10.670652101654,7.13019911034783,8.60719676629974,8.07324779934476,7.58600731012656,8.40507461334862,7.43447991131446,7.03937130643958,6.81371739199942,10.6392634050527,7.78341869778365,8.44890943900695,6.64635254295605,6.57535497363209,7.79682883649709,7.12483377978505,7.53689999958969,9.76259563471615,7.74381475164654,7.91854101000035,7.84518645393373,8.06100048865827,7.829251070106,8.2338300604019,6.67349602744931,8.62424409377716,7.75783744820138,8.54003721017371,6.93379353218962,9.24126782797654,7.14219378189515,8.13265287517711,5.56454687787781
"Mmp7",8.17699847501193,11.073594303944,8.33905283698171,7.74488766148628,7.34850179631846,8.47249965956261,6.25648218490272,7.461037167834,6.90063774783203,8.22723053361812,11.8572633462417,9.30815192410521,7.14348990305952,8.25020276001706,8.0597758319387,10.9320315148599,7.43102546822128,10.0654197271764,12.0105613100213,6.85129630654809,8.85376132790384,8.45042224226598,8.10391890400455,8.25711529660524,8.98583405853991,9.81249812532728,9.20788402167169,5.83155513865959,10.5791434894377,7.97755911102336,7.92024729802234,10.0938440505259,7.78071829624001,6.02776636336706
"Ccl17",10.874457792582,14.1053838968888,11.0101755812881,11.4901110377825,11.2810811476386,11.3724885256407,9.62627607505505,10.3563413333199,10.3522507993676,10.476227719765,14.638576463042,11.1139279203528,11.0960081206011,11.1800711152223,10.9565733376561,13.4934744214319,11.5193807342295,12.5610327249381,14.787910046431,10.8020155143064,11.3724348291764,11.5608494506905,11.3837653409486,10.0842399080233,12.1068390657989,11.5610796067619,11.0782855101047,9.45945633943873,13.1178059525642,10.1780223379776,11.2397819693298,13.1288859304594,11.0087956179478,7.73985051654272
"Lbp",8.82765101347141,8.24920710524576,6.24532192127668,6.75866007856545,5.47714811952668,7.05129839440887,9.41665802148664,4.98125867895785,6.13179731056974,6.77799172829762,5.87606456833443,7.98266037279002,7.98353043970045,8.45782493868852,7.60172287136399,5.86112809629843,6.10017616226511,7.12435091857364,7.05054991266575,6.92438807821243,7.45952681532374,10.782794704511,6.8647410648985,7.15821187235333,7.10882560529236,6.98843072261694,7.28636444965657,7.46350980934721,7.77152301775021,7.32414657038267,8.40240380208677,10.5098080835064,7.59027101203224,6.90139626650833
